"National Team","No","Pos","Player","Captain","Age","Caps","Goals","Value","Club","Club Country","Final Squad (26)"
"Mexico","","MF","Álvaro Fidalgo","No","29","3","0","$41M","Real Betis","Spain","Yes"
"Mexico","","FW","Raúl Jiménez","No","35","123","44","$521M","Fulham","England","Yes"
"Mexico","","FW","Alexis Vega","No","28","51","7","$23M","Toluca","Mexico","Yes"
"Mexico","","FW","Santiago Giménez","No","25","47","6","$42M","Milan","Italy","Yes"
"Mexico","","FW","César Huerta","No","25","26","3","$9M","Anderlecht","Belgium","Yes"
"Mexico","","FW","Julián Quiñones","No","29","21","2","$80M","Al-Qadsiah","Saudi Arabia","Yes"
"Mexico","","FW","Guillermo Martínez","No","31","11","3","$4M","UNAM","Mexico","Yes"
"Mexico","","FW","Armando González","No","23","7","1","$2M","Guadalajara","Mexico","Yes"
"South Africa","","GK","Ronwen Williams","Yes","34","62","0","$521M","Mamelodi Sundowns","South Africa","Yes"
"South Africa","","GK","Ricardo Goss","No","32","4","0","$222K","Siwelele","South Africa","Yes"
"South Africa","","GK","Sipho Chaine","No","29","3","0","$271K","Orlando Pirates","South Africa","Yes"
"South Africa","","DF","Aubrey Modiba","No","30","44","3","$640K","Mamelodi Sundowns","South Africa","Yes"
"South Africa","","DF","Khuliso Mudau","No","31","32","1","$563K","Mamelodi Sundowns","South Africa","Yes"
"South Africa","","DF","Nkosinathi Sibisi","No","30","19","0","$177K","Orlando Pirates","South Africa","Yes"
"South Africa","","DF","Mbekezeli Mbokazi","No","20","10","1","$9M","Chicago Fire FC","United States","Yes"
"South Africa","","DF","Ime Okon","No","22","7","1","$4M","Hannover 96","Germany","Yes"
"South Africa","","DF","Samukele Kabini","No","22","5","0","$5M","Molde","Norway","Yes"
"South Africa","","DF","Khulumani Ndamane","No","22","5","0","$451K","Mamelodi Sundowns","South Africa","Yes"
"South Africa","","DF","Thabang Matuludi","No","27","2","0","$92K","Polokwane City","South Africa","Yes"
"South Africa","","DF","Kamogelo Sebelebele","No","23","2","0","$451K","Orlando Pirates","South Africa","Yes"
"South Africa","","DF","Bradley Cross","No","25","0","0","$86K","Kaizer Chiefs","South Africa","Yes"
"South Africa","","DF","Olwethu Makhanya","No","22","0","0","$4M","Philadelphia Union","United States","Yes"
"South Africa","","MF","Teboho Mokoena","No","29","51","9","$892K","Mamelodi Sundowns","South Africa","Yes"
"South Africa","","MF","Sphephelo Sithole","No","27","27","1","","Tondela","Portugal","Yes"
"South Africa","","MF","Thalente Mbatha","No","26","14","3","$572K","Orlando Pirates","South Africa","Yes"
"South Africa","","MF","Jayden Adams","No","25","4","0","$2M","Mamelodi Sundowns","South Africa","Yes"
"South Africa","","FW","Themba Zwane","No","36","53","12","$521M","Mamelodi Sundowns","South Africa","Yes"
"South Africa","","FW","Lyle Foster","No","26","26","10","$17M","Burnley","England","Yes"
"South Africa","","FW","Evidence Makgopa","No","26","26","6","$328K","Orlando Pirates","South Africa","Yes"
"South Africa","","FW","Oswin Appollis","No","24","25","8","$602K","Orlando Pirates","South Africa","Yes"
"South Africa","","FW","Iqraam Rayners","No","30","13","4","$939K","Mamelodi Sundowns","South Africa","Yes"
"South Africa","","FW","Relebohile Mofokeng","No","21","12","0","$692K","Orlando Pirates","South Africa","Yes"
"South Africa","","FW","Thapelo Maseko","No","22","9","1","$547K","AEL Limassol","Cyprus","Yes"
"South Africa","","FW","Tshepang Moremi","No","25","9","1","$241K","Orlando Pirates","South Africa","Yes"
"South Korea","","GK","Kim Seung-gyu","No","35","86","0","$521M","FC Tokyo","Japan","Yes"
"South Korea","","GK","Jo Hyeon-woo","No","34","48","0","$521M","Ulsan HD","South Korea","Yes"
"South Korea","","GK","Song Bum-keun","No","28","2","0","","Jeonbuk Hyundai Motors","South Korea","Yes"
"South Korea","","DF","Kim Min-jae","No","29","78","4","$74M","Bayern Munich","Germany","Yes"
"South Korea","","DF","Kim Moon-hwan","No","30","35","0","$962K","Daejeon Hana Citizen","South Korea","Yes"
"South Korea","","DF","Seol Young-woo","No","27","33","0","","Red Star Belgrade","Serbia","Yes"
"South Korea","","DF","Lee Tae-seok","No","23","14","1","","Austria Wien","Austria","Yes"
"South Korea","","DF","Park Jin-seob","No","30","13","1","$2M","Zhejiang","China","Yes"
"South Korea","","DF","Kim Tae-hyeon","No","25","7","0","$2M","Kashima Antlers","Japan","Yes"
"South Korea","","DF","Lee Han-beom","No","23","7","0","$5M","Midtjylland","Denmark","Yes"
"South Korea","","DF","Jens Castrop","No","22","6","0","$8M","Borussia Mönchengladbach","Germany","Yes"
"South Korea","","DF","Lee Ki-hyuk","No","25","2","0","","Gangwon FC","South Korea","Yes"
"South Korea","","DF","Cho Wi-je","No","24","0","0","$503K","Jeonbuk Hyundai Motors","South Korea","Yes"
"South Korea","","MF","Lee Jae-sung","No","33","104","15","$521M","Mainz 05","Germany","Yes"
"South Korea","","MF","Hwang Hee-chan","No","30","78","17","$45M","Wolverhampton Wanderers","England","Yes"
"South Korea","","MF","Hwang In-beom","No","29","72","6","$61M","Feyenoord","Netherlands","Yes"
"South Korea","","MF","Lee Kang-in","No","25","46","11","","Paris Saint-Germain","France","Yes"
"South Korea","","MF","Paik Seung-ho","No","29","26","3","$19M","Birmingham City","England","Yes"
"South Korea","","MF","Kim Jin-gyu","No","29","21","3","$841K","Jeonbuk Hyundai Motors","South Korea","Yes"
"South Korea","","MF","Lee Dong-gyeong","No","28","17","3","","Ulsan HD","South Korea","Yes"
"South Korea","","MF","Bae Jun-ho","No","22","13","2","$15M","Stoke City","England","Yes"
"South Korea","","MF","Eom Ji-sung","No","24","9","2","$7M","Swansea City","Wales","Yes"
"South Korea","","MF","Yang Hyun-jun","No","24","8","0","","Celtic","Scotland","Yes"
"South Korea","","FW","Son Heung-min","Yes","33","143","56","","Los Angeles FC","United States","Yes"
"South Korea","","FW","Cho Gue-sung","No","28","43","12","$5M","Midtjylland","Denmark","Yes"
"South Korea","","FW","Oh Hyeon-gyu","No","25","26","6","$5M","Beşiktaş","Turkey","Yes"
"Bosnia and Herzegovina","","GK","Nikola Vasilj","No","30","25","0","$9M","FC St. Pauli","Germany","Yes"
"Bosnia and Herzegovina","","GK","Martin Zlomislić","No","27","3","0","$2M","Rijeka","Croatia","Yes"
"Bosnia and Herzegovina","","GK","Osman Hadžikić","No","30","0","0","$619K","Slaven Belupo","Croatia","Yes"
"Bosnia and Herzegovina","","DF","Sead Kolašinac","No","32","64","0","$521M","Atalanta","Italy","Yes"
"Bosnia and Herzegovina","","DF","Dennis Hadžikadunić","No","27","31","0","$4M","Sampdoria","Italy","Yes"
"Bosnia and Herzegovina","","DF","Amar Dedić","No","23","27","1","$75M","Benfica","Portugal","Yes"
"Bosnia and Herzegovina","","DF","Nikola Katić","No","29","16","1","$4M","Schalke 04","Germany","Yes"
"Bosnia and Herzegovina","","DF","Tarik Muharemović","No","23","13","1","$17M","Sassuolo","Italy","Yes"
"Bosnia and Herzegovina","","DF","Nihad Mujakić","No","28","11","1","$2M","Gaziantep","Turkey","Yes"
"Bosnia and Herzegovina","","DF","Stjepan Radeljić","No","28","5","0","$4M","Rijeka","Croatia","Yes"
"Bosnia and Herzegovina","","DF","Nidal Čelik","No","19","1","0","$2M","Lens","France","Yes"
"Bosnia and Herzegovina","","MF","Amir Hadžiahmetović","No","29","35","0","$2M","Hull City","England","Yes"
"Bosnia and Herzegovina","","MF","Benjamin Tahirović","No","23","27","2","$6M","Brøndby","Denmark","Yes"
"Bosnia and Herzegovina","","MF","Armin Gigović","No","24","19","1","$7M","Young Boys","Switzerland","Yes"
"Bosnia and Herzegovina","","MF","Dženis Burnić","No","28","19","0","$1M","Karlsruher SC","Germany","Yes"
"Bosnia and Herzegovina","","MF","Ivan Bašić","No","24","16","0","$1M","Astana","Kazakhstan","Yes"
"Bosnia and Herzegovina","","MF","Esmir Bajraktarević","No","21","15","1","$11M","PSV Eindhoven","Netherlands","Yes"
"Bosnia and Herzegovina","","MF","Amar Memić","No","25","12","1","$6M","Viktoria Plzeň","Czech Republic","Yes"
"Bosnia and Herzegovina","","MF","Ivan Šunjić","No","29","11","0","$294K","Pafos","Cyprus","Yes"
"Bosnia and Herzegovina","","MF","Kerim Alajbegović","No","18","9","1","$28M","Red Bull Salzburg","Austria","Yes"
"Bosnia and Herzegovina","","MF","Ermin Mahmić","No","21","1","0","$318K","Slovan Liberec","Czech Republic","Yes"
"Bosnia and Herzegovina","","FW","Edin Džeko","Yes","40","148","73","$521M","Schalke 04","Germany","Yes"
"Bosnia and Herzegovina","","FW","Ermedin Demirović","No","28","39","4","$31M","VfB Stuttgart","Germany","Yes"
"Bosnia and Herzegovina","","FW","Samed Baždar","No","22","12","1","$10M","Jagiellonia Białystok","Poland","Yes"
"Bosnia and Herzegovina","","FW","Haris Tabaković","No","31","10","4","$14M","Borussia Mönchengladbach","Germany","Yes"
"Bosnia and Herzegovina","","FW","Jovo Lukić","No","27","2","0","$2M","Universitatea Cluj","Romania","Yes"
"Canada","1","GK","Dayne St. Clair","No","29","19","0","$3M","Inter Miami CF","United States","Yes"
"Canada","2","DF","Alistair Johnston","No","27","56","1","$25M","Celtic","Scotland","Yes"
"Canada","3","DF","Luc de Fougerolles","No","20","11","0","$1M","Dender","Belgium","Yes"
"Canada","4","DF","Alfie Jones","No","28","1","0","$12M","Middlesbrough","England","Yes"
"Canada","5","DF","Joel Waterman","No","30","17","0","$2M","Chicago Fire FC","United States","Yes"
"Canada","6","MF","Mathieu Choinière","No","27","22","0","$2M","Los Angeles FC","United States","Yes"
"Canada","7","MF","Stephen Eustáquio","No","29","54","4","$23M","Los Angeles FC","United States","Yes"
"Canada","8","MF","Ismaël Koné","No","23","38","4","$33M","Sassuolo","Italy","Yes"
"Canada","9","FW","Cyle Larin","No","31","88","30","$6M","Southampton","England","Yes"
"Canada","10","FW","Jonathan David","No","26","75","39","$78M","Juventus","Italy","Yes"
"Canada","11","MF","Liam Millar","No","26","39","1","$10M","Hull City","England","Yes"
"Canada","12","FW","Tani Oluwaseyi","No","26","22","2","$73M","Villarreal","Spain","Yes"
"Canada","13","DF","Derek Cornelius","No","28","42","1","$5M","Rangers","Scotland","Yes"
"Canada","14","MF","Jacob Shaffelburg","No","26","31","6","$2M","Los Angeles FC","United States","Yes"
"Canada","15","DF","Moïse Bombito","No","26","19","0","$15M","Nice","France","Yes"
"Canada","16","GK","Maxime Crépeau","No","32","30","0","$4M","Orlando City SC","United States","Yes"
"Canada","17","MF","Tajon Buchanan","No","27","58","8","$67M","Villarreal","Spain","Yes"
"Canada","18","GK","Owen Goodman","No","22","0","0","$4M","Barnsley","England","Yes"
"Canada","19","DF","Alphonso Davies","Yes","25","58","15","$151M","Bayern Munich","Germany","Yes"
"Canada","20","MF","Ali Ahmed","No","25","24","1","$11M","Norwich City","England","Yes"
"Canada","21","MF","Jonathan Osorio","No","33","89","9","$521M","Toronto FC","Canada","Yes"
"Canada","22","DF","Richie Laryea","No","31","73","1","$10M","Toronto FC","Canada","Yes"
"Canada","23","DF","Niko Sigur","No","22","17","2","$3M","Hajduk Split","Croatia","Yes"
"Canada","24","FW","Promise David","No","24","8","3","$19M","Union Saint-Gilloise","Belgium","Yes"
"Canada","25","MF","Nathan Saliba","No","22","13","2","","Anderlecht","Belgium","Yes"
"Qatar","1","GK","Mahmud Abunada","No","26","4","0","","Al-Rayyan","Qatar","Yes"
"Qatar","2","DF","Pedro Miguel","No","35","98","3","$2M","Al-Sadd","Qatar","Yes"
"Qatar","3","DF","Lucas Mendes","No","35","25","1","$521M","Al-Wakrah","Qatar","Yes"
"Qatar","4","DF","Issa Laye","No","28","3","0","$943K","Al-Arabi","Qatar","Yes"
"Qatar","5","MF","Jassem Gaber","No","24","31","1","","Al-Rayyan","Qatar","Yes"
"Qatar","6","MF","Abdulaziz Hatem","No","35","117","11","$887K","Al-Rayyan","Qatar","Yes"
"Qatar","7","FW","Ahmed Alaaeldin","No","33","67","9","$5M","Al-Rayyan","Qatar","Yes"
"Qatar","8","FW","Edmilson Junior","No","31","15","0","$19M","Al-Duhail","Qatar","Yes"
"Qatar","9","FW","Mohammed Muntari","No","32","67","16","$7M","Al-Gharafa","Qatar","Yes"
"Qatar","10","FW","Hassan Al-Haydos","Yes","35","185","41","$946K","Al-Sadd","Qatar","Yes"
"Qatar","11","FW","Akram Afif","No","29","124","39","$36M","Al-Sadd","Qatar","Yes"
"Qatar","12","MF","Karim Boudiaf","No","35","117","5","$3M","Al-Duhail","Qatar","Yes"
"Qatar","13","DF","Ayoub Al-Oui","No","21","5","0","$7M","Al-Gharafa","Qatar","Yes"
"Qatar","14","DF","Homam Ahmed","No","26","67","3","$9M","Cultural Leonesa","Spain","Yes"
"Qatar","15","FW","Yusuf Abdurisag","No","26","38","3","$1M","Al-Wakrah","Qatar","Yes"
"Qatar","16","DF","Boualem Khoukhi","No","35","115","20","$521M","Al-Sadd","Qatar","Yes"
"Qatar","17","FW","Ahmed Al-Ganehi","No","25","13","1","$11M","Al-Gharafa","Qatar","Yes"
"Qatar","18","DF","Sultan Al-Brake","No","30","16","0","$1M","Al-Duhail","Qatar","Yes"
"Qatar","19","FW","Almoez Ali","No","29","115","55","$27M","Al-Duhail","Qatar","Yes"
"Qatar","20","MF","Ahmed Fathy","No","33","47","0","0","Al-Arabi","Qatar","Yes"
"Qatar","21","GK","Salah Zakaria","No","27","8","0","$8M","Al-Duhail","Qatar","Yes"
"Qatar","22","GK","Meshaal Barsham","No","28","52","0","","Al-Sadd","Qatar","Yes"
"Qatar","23","MF","Assim Madibo","No","29","50","0","$10M","Al-Wakrah","Qatar","Yes"
"Qatar","24","FW","Tahsin Jamshid","No","19","2","0","","Al-Duhail","Qatar","Yes"
"Qatar","25","DF","Al-Hashmi Al-Hussain","No","22","7","0","","Al-Arabi","Qatar","Yes"
"Qatar","26","MF","Mohamed Al-Mannai","No","22","9","0","","Al-Shamal","Qatar","Yes"
"Switzerland","1","GK","Gregor Kobel","No","28","20","0","$150M","Borussia Dortmund","Germany","Yes"
"Switzerland","2","DF","Miro Muheim","No","28","9","0","$10M","Hamburger SV","Germany","Yes"
"Switzerland","3","DF","Silvan Widmer","No","33","59","5","$4M","Mainz 05","Germany","Yes"
"Switzerland","4","DF","Nico Elvedi","No","29","66","3","$14M","Borussia Mönchengladbach","Germany","Yes"
"Switzerland","5","DF","Manuel Akanji","No","30","80","4","$81M","Inter Milan","Italy","Yes"
"Switzerland","6","MF","Denis Zakaria","No","29","64","3","$61M","Monaco","France","Yes"
"Switzerland","7","FW","Breel Embolo","No","29","86","24","$22M","Rennes","France","Yes"
"Switzerland","8","MF","Remo Freuler","No","34","87","11","$521M","Bologna","Italy","Yes"
"Switzerland","9","MF","Johan Manzambi","No","20","11","3","$116M","SC Freiburg","Germany","Yes"
"Switzerland","10","MF","Granit Xhaka","Yes","33","145","17","$521M","Sunderland","England","Yes"
"Switzerland","11","FW","Dan Ndoye","No","25","30","7","$63M","Nottingham Forest","England","Yes"
"Switzerland","12","GK","Yvon Mvogo","No","32","13","0","$6M","Lorient","France","Yes"
"Switzerland","13","DF","Ricardo Rodriguez","No","33","137","9","$23M","Real Betis","Spain","Yes"
"Switzerland","14","MF","Ardon Jashari","No","23","7","0","$99M","Milan","Italy","Yes"
"Switzerland","15","MF","Djibril Sow","No","29","51","0","$35M","Sevilla","Spain","Yes"
"Switzerland","16","MF","Christian Fassnacht","No","32","22","5","$521M","Young Boys","Switzerland","Yes"
"Switzerland","17","FW","Rubén Vargas","No","27","61","11","$73M","Sevilla","Spain","Yes"
"Switzerland","18","DF","Eray Cömert","No","28","21","0","$11M","Valencia","Spain","Yes"
"Switzerland","19","FW","Noah Okafor","No","26","24","2","$61M","Leeds United","England","Yes"
"Switzerland","20","MF","Michel Aebischer","No","29","39","2","$10M","Pisa","Italy","Yes"
"Switzerland","21","GK","Marvin Keller","No","23","1","0","$32M","Young Boys","Switzerland","Yes"
"Switzerland","22","MF","Fabian Rieder","No","24","27","1","$39M","FC Augsburg","Germany","Yes"
"Switzerland","23","FW","Zeki Amdouni","No","25","28","11","$28M","Burnley","England","Yes"
"Switzerland","24","DF","Aurèle Amenda","No","22","6","0","$41M","Eintracht Frankfurt","Germany","Yes"
"Switzerland","25","DF","Luca Jaquez","No","23","3","0","$57M","VfB Stuttgart","Germany","Yes"
"Switzerland","26","FW","Cedric Itten","No","29","14","5","$4M","Fortuna Düsseldorf","Germany","Yes"
"Brazil","1","GK","Alisson","No","33","77","0","$521M","Liverpool","England","Yes"
"Brazil","2","DF","Wesley","No","22","7","0","$200M","Roma","Italy","Yes"
"Brazil","3","DF","Gabriel Magalhães","No","28","17","1","","Arsenal","England","Yes"
"Brazil","4","DF","Marquinhos","Yes","32","104","7","$164M","Paris Saint-Germain","France","Yes"
"Brazil","5","MF","Casemiro","No","34","85","9","$521M","Manchester United","England","Yes"
"Brazil","6","DF","Alex Sandro","No","35","44","2","$521M","Flamengo","Brazil","Yes"
"Brazil","7","FW","Vinícius Júnior","No","25","48","9","$160M","Real Madrid","Spain","Yes"
"Brazil","8","MF","Bruno Guimarães","No","28","42","2","$122M","Newcastle United","England","Yes"
"Brazil","9","FW","Matheus Cunha","No","27","22","1","$216M","Manchester United","England","Yes"
"Brazil","10","FW","Neymar","No","34","128","79","$521M","Santos","Brazil","Yes"
"Brazil","11","FW","Raphinha","No","29","38","11","$120M","Barcelona","Spain","Yes"
"Brazil","12","GK","Weverton","No","38","10","0","$521M","Grêmio","Brazil","Yes"
"Brazil","13","DF","Danilo Luiz","No","34","69","1","","Flamengo","Brazil","Yes"
"Brazil","14","DF","Bremer","No","29","7","1","$90M","Juventus","Italy","Yes"
"Brazil","15","DF","Léo Pereira","No","30","3","0","$25M","Flamengo","Brazil","Yes"
"Brazil","16","DF","Douglas Santos","No","32","6","0","$24M","Zenit Saint Petersburg","Russia","Yes"
"Brazil","17","MF","Fabinho","No","32","32","0","$56M","Al-Ittihad","Saudi Arabia","Yes"
"Brazil","18","MF","Danilo Santos","No","25","3","2","$33K","Botafogo","Brazil","Yes"
"Brazil","19","FW","Endrick","No","19","16","3","$167M","Lyon","France","Yes"
"Brazil","20","MF","Lucas Paquetá","No","28","62","13","$26M","Flamengo","Brazil","Yes"
"Brazil","21","FW","Luiz Henrique","No","25","14","2","$37M","Zenit Saint Petersburg","Russia","Yes"
"Brazil","22","FW","Gabriel Martinelli","No","24","22","4","$113M","Arsenal","England","Yes"
"Brazil","23","GK","Ederson","No","32","32","0","$78M","Fenerbahçe","Turkey","Yes"
"Brazil","24","DF","Roger Ibañez","No","27","6","0","$97M","Al-Ahli","Saudi Arabia","Yes"
"Brazil","25","FW","Igor Thiago","No","24","3","2","","Brentford","England","Yes"
"Brazil","26","FW","Rayan","No","19","2","1","$59M","Bournemouth","England","Yes"
"Haiti","","GK","Johny Placide","Yes","38","79","0","$521M","Bastia","France","Yes"
"Haiti","","GK","Alexandre Pierre","No","25","14","0","$205K","Sochaux","France","Yes"
"Haiti","","GK","Josué Duverger","No","26","6","0","$11K","Cosmos Koblenz","Germany","Yes"
"Haiti","","DF","Ricardo Adé","No","36","57","2","$521M","LDU Quito","Ecuador","Yes"
"Haiti","","DF","Carlens Arcus","No","29","51","1","$6M","Angers","France","Yes"
"Haiti","","DF","Martin Expérience","No","27","19","0","$769K","Nancy","France","Yes"
"Haiti","","DF","Jean-Kévin Duverne","No","28","15","1","$3M","Gent","Belgium","Yes"
"Haiti","","DF","Duke Lacroix","No","32","14","2","$521M","Colorado Springs Switchbacks FC","United States","Yes"
"Haiti","","DF","Wilguens Paugain","No","24","6","0","$1M","Zulte Waregem","Belgium","Yes"
"Haiti","","DF","Hannes Delcroix","No","27","5","0","$2M","Lugano","Switzerland","Yes"
"Haiti","","DF","Keeto Thermoncy","No","20","1","0","$100K","Young Boys","Switzerland","Yes"
"Haiti","","MF","Leverton Pierre","No","28","33","0","$289K","Vizela","Portugal","Yes"
"Haiti","","MF","Danley Jean Jacques","No","26","28","6","$3M","Philadelphia Union","United States","Yes"
"Haiti","","MF","Carl Sainté","No","23","25","0","$856K","El Paso Locomotive FC","United States","Yes"
"Haiti","","MF","Jean-Ricner Bellegarde","No","27","8","0","$38M","Wolverhampton Wanderers","England","Yes"
"Haiti","","MF","Woodensky Pierre","No","21","1","0","","Violette","Haiti","Yes"
"Haiti","","MF","Dominique Simon","No","25","0","0","$219K","Tatran Prešov","Slovakia","Yes"
"Haiti","","FW","Duckens Nazon","No","32","76","44","$1M","Esteghlal","Iran","Yes"
"Haiti","","FW","Frantzdy Pierrot","No","31","49","33","$3M","Çaykur Rizespor","Turkey","Yes"
"Haiti","","FW","Derrick Etienne Jr.","No","29","46","8","$2M","Toronto FC","Canada","Yes"
"Haiti","","FW","Louicius Deedson","No","25","30","10","$2M","FC Dallas","United States","Yes"
"Haiti","","FW","Ruben Providence","No","24","13","2","$1M","Almere City","Netherlands","Yes"
"Haiti","","FW","Josué Casimir","No","24","5","0","$6M","Auxerre","France","Yes"
"Haiti","","FW","Yassin Fortuné","No","27","3","0","$255K","Vizela","Portugal","Yes"
"Haiti","","FW","Wilson Isidor","No","25","2","1","$29M","Sunderland","England","Yes"
"Haiti","","FW","Lenny Joseph","No","25","0","0","$1M","Ferencváros","Hungary","Yes"
"Morocco","","GK","Yassine Bounou","No","35","89","0","$59M","Al-Hilal","Saudi Arabia","Yes"
"Morocco","","GK","Munir Mohamedi","No","37","51","0","","RS Berkane","Morocco","Yes"
"Morocco","","GK","Ahmed Reda Tagnaouti","No","30","3","0","","AS FAR","Morocco","Yes"
"Morocco","","DF","Achraf Hakimi","Yes","27","95","11","$362M","Paris Saint-Germain","France","Yes"
"Morocco","","DF","Nayef Aguerd","No","30","64","2","$38M","Marseille","France","Yes"
"Morocco","","DF","Noussair Mazraoui","No","28","43","2","$104M","Manchester United","England","Yes"
"Morocco","","DF","Youssef Belammari","No","27","16","0","$8M","Al Ahly","Egypt","Yes"
"Morocco","","DF","Anass Salah-Eddine","No","24","8","0","$8M","PSV Eindhoven","Netherlands","Yes"
"Morocco","","DF","Chadi Riad","No","22","4","1","$29M","Crystal Palace","England","Yes"
"Morocco","","DF","Issa Diop","No","29","2","0","$13M","Fulham","England","Yes"
"Morocco","","DF","Zakaria El Ouahdi","No","24","2","0","$11M","Genk","Belgium","Yes"
"Morocco","","DF","Redouane Halhal","No","23","1","0","$2M","Mechelen","Belgium","Yes"
"Morocco","","MF","Sofyan Amrabat","No","29","73","0","$35M","Real Betis","Spain","Yes"
"Morocco","","MF","Azzedine Ounahi","No","26","47","9","$25M","Girona","Spain","Yes"
"Morocco","","MF","Bilal El Khannouss","No","22","35","3","$43M","VfB Stuttgart","Germany","Yes"
"Morocco","","MF","Ismael Saibari","No","25","28","7","$80M","PSV Eindhoven","Netherlands","Yes"
"Morocco","","MF","Neil El Aynaoui","No","24","15","2","$19M","Roma","Italy","Yes"
"Morocco","","MF","Samir El Mourabet","No","19","2","0","$8M","Strasbourg","France","Yes"
"Morocco","","MF","Ayyoub Bouaddi","No","18","1","0","$136M","Lille","France","Yes"
"Morocco","","FW","Ayoub El Kaabi","No","32","57","22","$521M","Olympiacos","Greece","Yes"
